Pathway,average.RfD,times
Steroid hormone biosynthesis,1.03E-05,4
Bile secretion,1.05E-05,4
Metabolism of xenobiotics by cytochrome P450,1.09E-05,4
Drug metabolism - cytochrome P450,1.20E-05,4
Drug metabolism - other enzymes,1.51E-05,4
Retinol metabolism,9.51E-06,3
Chemical carcinogenesis,1.16E-05,3
Terpenoid backbone biosynthesis,1.22E-05,3
Steroid biosynthesis,1.37E-05,3
Cysteine and methionine metabolism,1.93E-05,3
Antifolate resistance,2.16E-05,3
PPAR signaling pathway,1.38E-05,2
Fatty acid metabolism,1.61E-05,2
Fatty acid degradation,1.71E-05,2
Folate biosynthesis,2.26E-05,2
Allograft rejection,5.02E-06,1
Asthma,5.02E-06,1
Autoimmune thyroid disease,5.02E-06,1
Graft-versus-host disease,5.02E-06,1
Intestinal immune network for IgA production,5.02E-06,1
Leishmaniasis,5.44E-06,1
Type I diabetes mellitus,5.44E-06,1
Viral myocarditis,6.07E-06,1
Hematopoietic cell lineage,6.67E-06,1
Systemic lupus erythematosus,6.67E-06,1
"Glycine, serine and threonine metabolism",1.27E-05,1
Fluid shear stress and atherosclerosis,1.34E-05,1
Butanoate metabolism,1.48E-05,1
Lipid and atherosclerosis,1.55E-05,1
Central carbon metabolism in cancer,1.66E-05,1
Glutathione metabolism,1.72E-05,1
Staphylococcus aureus infection,1.91E-05,1
Synthesis and degradation of ketone bodies,1.93E-05,1
Arachidonic acid metabolism,2.00E-05,1
Cellular senescence,2.12E-05,1
Carbon metabolism,2.13E-05,1
Platinum drug resistance,2.49E-05,1
Bladder cancer,2.59E-05,1
Tyrosine metabolism,2.61E-05,1
Chronic myeloid leukemia,2.85E-05,1
Biosynthesis of cofactors,3.33E-05,1
Porphyrin and chlorophyll metabolism,3.64E-05,1
Coronavirus disease - COVID-19,2.13E-05,0
p53 signaling pathway,2.47E-05,0
Complement and coagulation cascades,2.66E-05,0
